price,rooms,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
1100,1,1,0,45,0,4,24.4444
1700,2,1,0,73,2,7,23.2877
590,0,0,0,46,2,0,12.8261
770,1,0,0,55,2,8,14.0
3300,3,1,0,151,2,9,21.8543
700,2,0,0,50,2,8,14.0
2900,4,1,0,138,2,9,21.0145
3300,4,1,0,153,2,9,21.5686
2300,3,1,0,113,2,9,20.354
825,2,1,0,38,2,0,21.7105
1100,2,1,1,76,2,0,14.4737
1000,2,1,1,65,2,0,15.3846
850,1,1,0,61,2,2,13.9344
850,2,1,0,53,2,0,16.0377
900,3,1,0,77,2,1,11.6883
2000,4,1,0,202,2,1,9.90099
1100,2,1,0,92,2,0,11.9565
850,3,1,0,61,2,2,13.9344
2850,3,1,0,171,2,1,16.6667
2500,3,1,0,180,0,1,13.8889
1500,2,1,0,60,0,1,25.0
2057,1,1,0,74,0,7,27.7973
1800,3,0,0,100,0,0,18.0
1800,1,0,0,90,0,2,20.0
3144,2,0,0,62,0,1,50.7097
1550,3,0,0,63,0,8,24.6032
1800,1,0,0,55,0,8,32.7273
2400,2,0,0,65,0,0,36.9231
1600,1,0,0,48,0,0,33.3333
976,3,0,0,80,0,0,12.2
976,3,0,0,80,0,0,12.2
2021,2,0,0,60,0,1,33.6833
1540,2,0,0,75,0,1,20.5333
4000,4,1,0,220,2,9,18.1818
900,2,1,0,60,2,0,15.0
890,1,1,0,40,3,9,22.25
1500,1,1,0,58,0,7,25.8621
2300,3,1,0,90,0,1,25.5556
1970,2,1,0,73,2,7,26.9863
1210,2,1,0,47,2,7,25.7447
1185,2,0,0,47,2,7,25.2128
2250,3,1,0,100,0,1,22.5
1900,2,1,0,73,2,7,26.0274
3500,3,1,0,205,0,1,17.0732
1250,3,1,0,75,2,4,16.6667
795,2,1,1,59,2,5,13.4746
780,3,1,0,68,2,3,11.4706
950,3,0,1,101,2,0,9.40594
895,3,0,1,85,2,2,10.5294
995,4,1,0,90,2,8,11.0556
780,2,0,0,51,2,5,15.2941
2400,3,1,0,140,2,9,17.1429
1170,2,1,1,72,2,1,16.25
2200,2,1,0,65,2,9,33.8462
2700,3,1,0,85,2,9,31.7647
1600,0,1,0,60,2,1,26.6667
1300,3,1,0,85,2,1,15.2941
650,0,1,0,28,0,0,23.2143
730,1,0,0,40,2,0,18.25
1750,3,1,0,140,2,9,12.5
1250,2,1,0,70,2,1,17.8571
1000,1,1,1,51,2,2,19.6078
1220,1,1,0,75,0,9,16.2667
800,2,1,0,60,2,2,13.3333
2700,7,1,0,250,2,1,10.8
980,3,1,0,67,2,1,14.6269
1195,1,1,0,95,2,6,12.5789
1050,1,1,0,61,0,0,17.2131
1700,4,1,1,95,2,1,17.8947
1800,4,1,1,92,2,1,19.5652
1350,4,1,0,120,2,1,11.25
930,2,1,1,70,2,8,13.2857
995,4,1,1,87,2,3,11.4368
1200,2,1,1,65,2,9,18.4615
850,2,1,0,47,2,0,18.0851
990,2,0,0,80,2,9,12.375
2550,2,1,0,123,2,0,20.7317
1150,2,1,0,60,0,0,19.1667
1200,3,1,0,75,0,0,16.0
1300,2,0,0,70,2,0,18.5714
1350,2,1,0,65,2,0,20.7692
2000,2,1,1,115,2,0,17.3913
850,1,0,0,40,0,0,21.25
1475,2,0,0,121,2,0,12.1901
1400,1,1,0,33,2,0,42.4242
4000,2,1,0,115,0,0,34.7826
900,1,0,0,36,2,0,25.0
950,3,0,0,75,2,0,12.6667
1300,1,0,0,68,2,0,19.1176
5250,5,1,1,395,1,0,13.2911
1250,2,1,1,103,2,0,12.1359
1100,3,1,0,85,2,0,12.9412
2000,2,1,1,120,2,0,16.6667
1100,1,1,0,68,2,0,16.1765
1100,1,1,0,50,2,0,22.0
1600,3,1,0,122,2,0,13.1148
1800,3,1,0,85,2,0,21.1765
1000,3,0,0,70,2,0,14.2857
702,2,1,0,37,2,0,18.973
3000,4,0,1,180,2,0,16.6667
1700,2,1,0,120,2,0,14.1667
1350,5,0,0,112,2,0,12.0536
1600,3,1,0,86,1,0,18.6047
1175,3,0,0,97,2,0,12.1134
1250,2,1,0,46,2,0,27.1739
2500,3,1,0,139,0,0,17.9856
1100,2,1,0,46,2,0,23.913
800,3,0,0,55,2,0,14.5455
1360,2,1,1,57,0,0,23.8596
1700,2,0,1,151,2,0,11.2583
2000,2,0,0,121,2,0,16.5289
1500,3,1,0,89,2,0,16.8539
1100,1,1,1,40,2,0,27.5
690,1,0,0,37,2,0,18.6486
1500,1,0,0,110,2,0,13.6364
1690,3,0,0,130,0,0,13.0
1100,2,1,0,58,2,0,18.9655
2200,2,1,1,90,2,0,24.4444
1290,4,1,0,120,0,0,10.75
1350,2,1,0,46,2,0,29.3478
1290,2,0,0,62,2,0,20.8065
1900,2,1,0,99,2,0,19.1919
1400,2,1,1,65,2,0,21.5385
800,2,0,0,50,2,0,16.0
1500,2,1,1,62,0,0,24.1935
900,2,1,0,60,2,0,15.0
1050,1,0,0,80,2,0,13.125
1250,2,1,1,67,2,0,18.6567
1130,1,1,1,47,0,0,24.0426
1000,2,1,0,70,0,0,14.2857
1200,1,1,0,65,2,0,18.4615
1250,2,1,1,62,0,0,20.1613
1100,1,1,0,110,2,0,10.0
2300,4,1,0,147,0,0,15.6463
1350,2,0,0,60,2,0,22.5
1200,2,0,0,70,2,0,17.1429
2500,2,1,0,122,0,0,20.4918
2700,4,1,1,162,0,0,16.6667
1400,3,1,0,80,2,0,17.5
1500,2,1,1,98,2,0,15.3061
1350,1,0,1,35,2,0,38.5714
1250,2,0,0,65,2,0,19.2308
1100,2,1,0,75,0,0,14.6667
1000,1,1,1,40,2,0,25.0
1250,2,1,0,46,2,0,27.1739
1000,2,1,0,66,0,0,15.1515
1200,4,1,0,130,2,0,9.23077
1600,3,1,0,173,2,0,9.24856
5720,3,0,0,115,2,0,49.7391
1500,2,1,1,86,2,0,17.4419
1200,2,0,0,85,2,0,14.1176
2290,4,1,1,180,2,2,12.7222
1900,3,1,1,125,2,2,15.2
1300,3,1,1,100,2,2,13.0
2500,2,1,1,72,2,2,34.7222
1800,2,0,1,100,2,2,18.0
3600,3,0,0,193,1,2,18.6528
1200,2,1,0,77,2,2,15.5844
1350,1,0,1,50,0,2,27.0
1250,2,0,0,75,2,2,16.6667
1480,2,1,0,100,2,2,14.8
1300,2,1,0,60,0,2,21.6667
1350,2,1,0,60,0,2,22.5
1800,3,1,0,100,2,2,18.0
1900,1,0,1,80,2,2,23.75
1300,3,0,1,85,2,2,15.2941
1400,3,0,0,125,2,2,11.2
1835,1,1,0,59,2,2,31.1017
1400,2,1,0,55,2,2,25.4545
1900,1,0,1,80,2,2,23.75
1500,1,0,1,94,2,2,15.9574
1800,2,1,0,100,2,2,18.0
1800,2,0,1,65,1,2,27.6923
2050,3,1,1,177,2,2,11.5819
3200,5,1,0,208,2,2,15.3846
3768,3,1,1,117,2,2,32.2051
1300,4,0,1,85,2,2,15.2941
1300,4,1,0,107,2,4,12.1495
990,2,1,0,74,2,1,13.3784
1200,3,1,1,77,2,8,15.5844
2229,3,0,0,80,0,1,27.8625
2150,1,0,0,35,0,8,61.4286
1806,2,0,0,80,0,7,22.575
2155,3,0,0,80,0,1,26.9375
2317,3,0,0,80,0,1,28.9625
2008,3,0,0,80,0,1,25.1
2040,1,0,0,45,0,8,45.3333
2760,3,0,0,80,0,1,34.5
950,1,1,1,40,1,1,23.75
900,1,1,0,45,2,1,20.0
850,1,1,0,50,2,0,17.0
1000,3,1,0,88,2,1,11.3636
950,2,1,0,45,2,1,21.1111
1500,3,0,0,92,2,9,16.3043
1600,3,1,1,100,2,9,16.0
1000,1,1,0,50,2,1,20.0
1200,1,1,0,50,2,1,24.0
1350,3,1,1,120,2,1,11.25
1425,2,1,0,88,2,4,16.1932
1550,5,1,1,146,2,4,10.6164
1495,4,1,0,123,2,4,12.1545
950,2,1,0,62,2,1,15.3226
950,1,1,0,50,2,1,19.0
2300,2,0,0,96,2,0,23.9583
3200,5,1,0,200,2,4,16.0
3400,5,1,0,200,2,4,17.0
3200,4,1,1,148,2,9,21.6216
3800,3,1,0,218,2,1,17.4312
1500,2,1,0,88,2,9,17.0455
2300,4,1,0,158,2,9,14.557
1100,2,1,0,57,2,1,19.2982
1100,1,1,1,45,1,9,24.4444
1150,1,1,0,40,2,9,28.75
1060,4,1,0,98,2,9,10.8163
750,1,0,0,60,2,8,12.5
1000,3,1,1,71,1,3,14.0845
750,2,0,0,52,2,8,14.4231
1200,2,1,0,113,2,1,10.6195
700,1,1,0,50,2,0,14.0
1125,2,1,1,75,2,0,15.0
1300,2,1,0,80,2,1,16.25
970,2,1,1,43,2,9,22.5581
1950,5,1,1,170,2,9,11.4706
1000,3,1,1,70,2,1,14.2857
1850,3,1,1,100,2,9,18.5
1290,3,1,0,100,2,1,12.9
950,1,1,0,54,2,0,17.5926
1500,2,1,0,95,2,1,15.7895
650,1,1,0,25,2,1,26.0
750,1,0,0,22,2,0,34.0909
1080,2,0,0,75,2,9,14.4
8482,4,1,1,225,2,4,37.6978
890,1,1,0,54,2,9,16.4815
3500,2,1,1,152,2,9,23.0263
3219,3,1,1,120,2,9,26.825
3400,3,1,1,220,2,9,15.4545
1200,2,0,0,98,2,0,12.2449
1626,3,1,1,81,2,1,20.0741
3200,4,1,1,200,2,9,16.0
750,1,0,0,40,2,0,18.75
3500,4,1,1,188,2,9,18.617
1200,2,0,0,50,2,8,24.0
2200,2,1,1,89,2,0,24.7191
1700,3,1,1,130,2,0,13.0769
1450,4,1,0,84,2,4,17.2619
1200,3,1,0,75,2,0,16.0
3500,2,1,1,113,2,1,30.9735
1350,4,1,1,112,2,4,12.0536
1400,3,1,0,106,2,1,13.2075
2000,5,1,1,167,2,9,11.976
1724,3,1,1,78,2,1,22.1026
1150,3,1,0,88,2,9,13.0682
5000,4,1,1,220,2,9,22.7273
935,3,0,0,82,2,3,11.4024
3600,5,1,1,185,2,4,19.4595
3400,5,1,1,220,2,9,15.4545
2500,3,1,1,145,2,9,17.2414
2000,3,1,1,110,2,1,18.1818
1590,3,1,0,110,2,1,14.4545
3000,3,1,1,174,2,0,17.2414
5200,3,1,1,150,2,0,34.6667
2600,3,0,1,136,2,7,19.1176
1000,3,0,0,63,2,2,15.873
1900,2,1,1,92,2,2,20.6522
3800,2,1,1,100,2,0,38.0
1600,4,1,1,137,2,9,11.6788
1650,3,1,1,138,2,1,11.9565
2500,3,1,1,136,2,9,18.3824
1450,2,1,0,90,2,1,16.1111
2700,5,1,1,227,2,9,11.8943
900,3,1,0,82,2,2,10.9756
6800,5,1,1,325,2,9,20.9231
1950,2,1,1,100,2,7,19.5
1150,1,1,0,100,2,0,11.5
1050,3,1,0,81,2,1,12.963
6000,3,1,1,250,2,7,24.0
3000,4,1,1,193,1,1,15.544
3600,3,1,0,280,2,4,12.8571
1150,1,1,1,45,2,0,25.5556
3300,4,1,0,174,2,9,18.9655
1750,4,1,1,100,2,7,17.5
900,1,0,1,47,2,8,19.1489
2200,3,1,0,110,2,1,20.0
2200,4,1,1,175,2,1,12.5714
975,1,1,0,51,2,0,19.1176
2200,3,1,0,112,2,1,19.6429
1300,1,1,0,99,2,0,13.1313
4900,5,1,1,257,2,9,19.0661
1200,1,0,0,60,2,0,20.0
2250,2,1,1,75,2,1,30.0
8000,4,1,0,226,2,1,35.3982
3500,3,1,1,150,2,1,23.3333
1975,5,1,0,140,2,9,14.1071
1250,2,0,0,82,2,0,15.2439
1600,1,1,0,82,2,1,19.5122
8500,3,1,0,220,2,1,38.6364
1750,3,1,0,130,2,2,13.4615
1949,1,1,1,58,2,2,33.6034
2000,2,1,1,115,0,0,17.3913
1385,2,0,0,55,2,7,25.1818
1050,2,0,1,55,2,2,19.0909
2150,4,1,0,158,2,7,13.6076
1200,2,1,1,61,0,0,19.6721
1360,2,1,0,55,2,7,24.7273
800,1,1,0,52,2,0,15.3846
1700,2,1,1,120,0,0,14.1667
4900,4,1,0,170,0,9,28.8235
2900,4,1,0,247,0,9,11.7409
1300,2,1,0,60,0,0,21.6667
1700,2,1,1,95,0,0,17.8947
2000,3,1,0,92,2,7,21.7391
1450,2,0,0,80,1,9,18.125
550,1,0,0,38,2,3,14.4737
3833,3,1,1,135,2,4,28.3926
2400,3,1,0,148,2,9,16.2162
3200,4,1,1,155,1,9,20.6452
4600,4,1,1,270,2,9,17.037
3850,5,1,0,260,2,9,14.8077
9075,4,1,1,215,1,9,42.2093
7000,5,1,1,400,2,9,17.5
2900,4,1,1,150,2,9,19.3333
3000,3,1,1,165,2,9,18.1818
5300,4,0,1,260,2,9,20.3846
3000,3,1,0,160,2,9,18.75
4700,4,1,1,224,2,9,20.9821
620,0,1,0,29,2,4,21.3793
920,3,1,0,76,2,7,12.1053
895,1,1,0,55,2,1,16.2727
750,3,1,0,67,2,6,11.194
1050,3,1,0,75,2,9,14.0
800,3,0,0,65,2,7,12.3077
1000,3,1,0,80,2,1,12.5
1085,3,1,0,83,2,4,13.0723
850,3,1,0,58,2,8,14.6552
995,1,1,0,50,2,9,19.9
995,1,0,1,42,1,2,23.6905
1650,3,1,0,85,2,1,19.4118
800,1,1,0,50,2,9,16.0
3200,4,1,1,120,1,9,26.6667
2800,4,1,0,200,2,4,14.0
2900,3,1,0,178,2,9,16.2921
1675,4,1,0,137,2,9,12.2263
1700,2,1,0,85,2,1,20.0
1900,4,1,1,148,2,4,12.8378
2580,3,1,0,154,2,1,16.7532
2000,3,1,0,150,2,4,13.3333
1350,3,1,0,124,2,1,10.8871
850,1,1,0,40,2,9,21.25
1100,2,1,0,56,2,0,19.6429
690,1,0,0,36,2,0,19.1667
700,2,0,0,67,2,0,10.4478
710,2,1,0,33,2,0,21.5152
720,2,0,0,45,2,8,16.0
1130,3,1,0,89,2,1,12.6966
1150,2,0,1,50,1,9,23.0
1195,3,1,0,74,2,1,16.1486
520,1,1,0,25,2,0,20.8
840,2,1,0,55,2,8,15.2727
760,2,0,0,67,2,8,11.3433
1400,1,1,1,60,2,7,23.3333
1150,2,1,0,83,2,7,13.8554
1700,3,1,0,118,2,7,14.4068
1360,2,1,0,55,2,7,24.7273
1650,2,1,1,93,2,7,17.7419
1175,3,1,1,61,2,7,19.2623
1210,2,1,0,55,2,7,22.0
1150,2,1,0,60,2,7,19.1667
2000,4,1,0,154,2,7,12.987
1500,3,1,0,104,1,7,14.4231
1900,2,1,0,85,2,7,22.3529
1800,1,1,1,60,1,7,30.0
10000,3,1,1,185,1,7,54.0541
6000,3,1,1,240,2,7,25.0
2520,3,1,0,193,2,7,13.057
2400,3,1,1,120,2,7,20.0
1500,3,1,1,66,2,7,22.7273
2600,3,1,1,121,2,7,21.4876
1250,2,0,0,73,2,7,17.1233
1800,2,1,0,89,0,7,20.2247
3900,3,1,1,135,0,7,28.8889
1500,2,1,1,70,2,7,21.4286
1190,2,1,0,64,2,0,18.5938
1050,2,1,0,45,0,0,23.3333
1220,2,1,0,75,2,4,16.2667
4000,3,1,1,350,1,4,11.4286
1540,4,1,0,120,2,4,12.8333
3500,6,1,0,230,2,4,15.2174
2700,4,1,1,190,2,4,14.2105
1800,4,1,0,124,2,4,14.5161
2975,5,1,1,232,2,4,12.8233
8500,4,1,1,190,1,4,44.7368
1900,0,1,1,145,2,4,13.1034
1600,2,1,0,70,2,4,22.8571
1700,2,1,1,90,2,4,18.8889
1300,2,1,1,55,0,4,23.6364
2300,2,1,1,130,0,4,17.6923
2600,3,1,1,177,2,4,14.6893
6500,4,1,1,285,2,4,22.807
4200,5,1,1,273,0,4,15.3846
2450,3,1,0,150,2,4,16.3333
2500,2,1,1,150,0,4,16.6667
1895,3,1,0,175,2,4,10.8286
2950,5,1,0,250,0,4,11.8
1300,2,1,1,76,2,4,17.1053
2000,4,1,1,130,2,4,15.3846
3000,5,1,1,233,0,4,12.8755
1300,2,1,0,74,2,4,17.5676
2250,3,1,0,120,2,4,18.75
2600,5,1,1,180,2,4,14.4444
3600,4,1,0,248,0,4,14.5161
2000,4,1,1,150,2,4,13.3333
3600,4,1,1,170,2,4,21.1765
3000,4,1,0,235,2,4,12.766
2750,5,1,0,160,2,4,17.1875
3500,3,1,1,191,0,4,18.3246
1035,3,1,0,85,2,1,12.1765
775,1,0,0,39,2,7,19.8718
800,3,1,0,83,2,8,9.63855
650,2,0,0,56,2,3,11.6071
825,1,0,0,50,2,2,16.5
1600,0,1,0,60,2,1,26.6667
890,1,1,0,55,2,1,16.1818
900,3,1,0,75,2,8,12.0
2400,3,1,0,140,2,9,17.1429
1000,3,1,0,74,2,8,13.5135
2500,3,1,0,140,2,9,17.8571
2700,3,1,0,85,2,9,31.7647
2000,2,1,0,65,2,9,30.7692
790,2,1,0,88,2,6,8.97727
1600,4,1,0,122,2,1,13.1148
2500,2,1,1,116,2,7,21.5517
1050,2,1,0,60,2,9,17.5
990,2,1,1,81,2,2,12.2222
950,2,1,0,50,2,2,19.0
1100,2,1,0,60,0,9,18.3333
990,3,1,1,81,2,8,12.2222
1300,2,1,1,91,1,1,14.2857
1000,3,1,1,79,2,2,12.6582
1150,4,1,0,85,2,1,13.5294
935,2,1,0,65,1,8,14.3846
875,1,1,1,54,2,9,16.2037
2200,4,1,1,235,2,9,9.3617
850,0,0,0,60,2,0,14.1667
1800,4,1,0,90,1,7,20.0
1500,2,1,0,75,2,1,20.0
12000,3,1,1,200,1,7,60.0
3000,4,1,1,130,2,1,23.0769
2200,3,1,1,123,2,1,17.8862
1850,2,1,0,150,2,4,12.3333
2120,3,1,0,100,2,1,21.2
1500,2,1,0,50,2,1,30.0
1350,3,0,0,111,2,9,12.1622
4000,4,1,0,170,2,4,23.5294
1800,2,1,0,82,2,1,21.9512
2000,3,1,0,110,2,9,18.1818
8500,5,1,1,480,2,9,17.7083
2500,2,1,0,70,2,0,35.7143
1900,2,1,0,70,2,1,27.1429
1950,2,1,1,91,2,0,21.4286
1600,1,1,0,70,2,1,22.8571
1300,1,0,0,55,2,9,23.6364
5500,4,1,1,230,2,7,23.913
750,1,1,0,47,2,9,15.9574
1350,2,1,0,64,2,1,21.0938
1463,4,1,0,120,2,0,12.1917
2900,3,1,0,180,2,1,16.1111
1350,3,1,1,146,2,1,9.24658
1175,2,1,0,65,2,9,18.0769
1350,2,0,0,74,2,3,18.2432
1839,5,1,0,140,2,0,13.1357
3600,3,1,1,176,2,4,20.4545
1125,2,1,0,70,2,9,16.0714
1200,2,1,0,40,2,3,30.0
1950,5,1,0,140,2,9,13.9286
1700,2,1,1,90,2,9,18.8889
1550,2,1,1,85,2,0,18.2353
980,1,1,0,40,2,3,24.5
1800,2,1,1,80,2,1,22.5
2420,3,1,1,106,2,1,22.8302
1300,2,1,0,65,2,1,20.0
1300,3,1,0,64,2,3,20.3125
1600,2,1,1,72,2,1,22.2222
1300,3,1,0,64,2,3,20.3125
980,1,1,0,40,2,3,24.5
7500,4,1,1,160,1,7,46.875
1500,2,1,0,80,2,1,18.75
2000,4,1,0,150,2,1,13.3333
1050,2,0,0,77,2,0,13.6364
2700,4,1,1,156,2,4,17.3077
3300,5,1,1,214,2,9,15.4206
1600,3,1,0,129,2,9,12.4031
1117,2,1,1,55,2,1,20.3091
1400,3,0,1,104,2,1,13.4615
770,1,0,0,59,2,8,13.0508
950,2,1,1,69,2,1,13.7681
900,1,1,0,56,2,7,16.0714
2800,2,1,1,96,2,9,29.1667
2300,5,1,1,150,2,1,15.3333
8000,4,1,1,350,1,1,22.8571
2300,3,1,1,125,2,7,18.4
2200,2,1,0,102,2,1,21.5686
1300,1,1,0,52,2,0,25.0
1100,2,1,0,60,2,8,18.3333
900,2,0,0,66,2,1,13.6364
2655,2,1,1,139,2,9,19.1007
2200,4,1,0,210,2,1,10.4762
1250,2,1,0,86,2,0,14.5349
1550,2,1,1,110,2,9,14.0909
1250,2,1,0,96,2,9,13.0208
765,1,0,1,39,2,0,19.6154
950,2,0,0,65,2,1,14.6154
1800,4,1,0,150,2,1,12.0
2900,4,1,1,153,2,9,18.9542
1600,3,1,0,66,2,7,24.2424
1250,4,1,0,82,2,1,15.2439
3800,5,1,0,287,2,9,13.2404
2934,3,1,1,117,2,1,25.0769
2467,2,1,1,102,2,9,24.1863
950,2,1,0,64,2,9,14.8438
1000,3,1,0,75,2,8,13.3333
900,2,0,0,65,2,1,13.8462
1500,3,1,0,76,2,7,19.7368
1100,2,0,0,60,2,4,18.3333
1500,2,1,1,56,2,1,26.7857
900,1,1,0,45,2,0,20.0
1950,3,0,0,140,2,4,13.9286
2550,4,1,1,166,2,4,15.3614
1800,2,1,1,70,2,0,25.7143
1400,2,1,0,77,2,1,18.1818
2278,3,1,1,123,2,9,18.5203
1200,1,1,0,55,2,9,21.8182
990,2,1,0,74,2,1,13.3784
1050,2,1,0,37,2,9,28.3784
2450,5,1,1,211,2,1,11.6114
3500,2,1,1,137,2,1,25.5474
900,1,1,0,50,2,1,18.0
900,2,1,0,70,2,8,12.8571
3300,3,1,1,160,2,9,20.625
750,1,0,0,40,2,0,18.75
1390,2,1,0,78,2,7,17.8205
900,2,0,0,50,2,1,18.0
1150,1,1,0,50,2,1,23.0
900,2,0,0,70,2,8,12.8571
2300,4,1,1,128,2,9,17.9688
1400,4,0,0,93,2,4,15.0538
1090,2,1,0,89,2,9,12.2472
1260,2,0,0,47,2,7,26.8085
8500,3,1,1,140,0,1,60.7143
1100,2,1,0,80,2,0,13.75
1100,1,1,0,65,2,1,16.9231
1450,2,1,1,95,2,4,15.2632
1800,3,1,1,120,1,9,15.0
2500,3,1,0,105,0,1,23.8095
2200,3,1,1,155,0,9,14.1935
2000,3,1,0,150,0,0,13.3333
1300,1,1,0,45,0,0,28.8889
8000,4,1,1,350,1,1,22.8571
2070,3,1,0,92,2,7,22.5
695,2,0,0,70,2,5,9.92857
850,3,1,0,77,2,3,11.039
1100,4,1,0,110,2,1,10.0
900,3,1,0,90,2,9,10.0
1420,3,1,0,117,2,1,12.1368
650,1,1,0,50,2,5,13.0
1600,5,1,0,138,2,1,11.5942
3500,5,1,1,220,2,9,15.9091
790,3,0,0,75,2,3,10.5333
950,3,1,0,80,2,1,11.875
1600,4,1,0,111,2,4,14.4144
1450,4,1,0,106,2,8,13.6792
1300,2,1,0,73,2,2,17.8082
1050,4,1,0,98,2,1,10.7143
850,2,0,1,71,2,8,11.9718
850,2,0,0,74,2,1,11.4865
690,2,0,0,47,2,8,14.6809
875,3,0,0,69,2,8,12.6812
1125,2,1,1,75,2,1,15.0
700,1,0,0,32,2,0,21.875
700,2,0,0,53,2,0,13.2075
890,1,1,0,50,2,9,17.8
795,3,1,1,75,2,7,10.6
1200,3,0,0,70,2,0,17.1429
700,1,0,0,40,2,0,17.5
850,2,0,0,50,2,0,17.0
800,3,1,0,80,2,7,10.0
750,3,1,0,80,2,3,9.375
1150,4,1,1,100,2,2,11.5
3250,4,1,1,184,2,9,17.663
1000,3,0,1,80,2,8,12.5
1150,4,1,0,90,2,7,12.7778
635,0,0,0,37,2,0,17.1622
1595,2,1,1,80,2,7,19.9375
1145,2,1,0,58,2,1,19.7414
890,2,1,0,60,2,1,14.8333
795,0,1,0,34,2,9,23.3824
800,1,0,0,51,2,2,15.6863
680,1,1,0,55,2,0,12.3636
865,2,0,0,68,2,2,12.7206
1320,3,1,0,94,2,9,14.0426
840,3,0,0,66,2,7,12.7273
1450,4,1,1,95,2,1,15.2632
850,3,1,0,80,2,5,10.625
1380,4,1,1,100,2,1,13.8
1250,3,1,1,86,1,2,14.5349
720,3,0,1,60,2,7,12.0
790,0,0,1,36,3,0,21.9444
1100,3,1,0,80,2,7,13.75
1200,4,0,1,125,2,8,9.6
1216,3,1,0,85,2,9,14.3059
800,1,1,0,45,2,9,17.7778
1150,4,1,0,85,2,9,13.5294
1150,4,1,0,85,2,9,13.5294
800,1,1,0,45,2,9,17.7778
900,2,1,0,72,2,5,12.5
1000,1,1,0,45,2,9,22.2222
900,1,1,1,60,2,9,15.0
900,1,1,1,60,2,9,15.0
900,3,1,0,69,2,3,13.0435
850,3,1,0,61,2,7,13.9344
825,2,1,0,50,2,1,16.5
2100,2,1,1,92,0,1,22.8261
6500,5,1,1,305,1,9,21.3115
890,1,1,0,40,2,0,22.25
1350,4,0,0,135,2,2,10.0
795,0,1,0,57,2,1,13.9474
750,2,0,0,52,2,2,14.4231
1200,2,0,0,80,2,1,15.0
800,3,0,0,64,2,2,12.5
2000,2,1,1,126,2,2,15.873
950,3,1,0,83,2,4,11.4458
750,2,0,0,65,2,0,11.5385
800,1,1,1,45,2,8,17.7778
750,2,1,0,52,2,8,14.4231
